Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,13.400000,13.950000,13.400000,13.900000,11.984925,24513604
2020-03-23,13.200000,13.500000,13.000000,13.500000,11.640036,10675163
2020-03-24,13.700000,13.950000,13.550000,13.550000,11.683147,14460211
2020-03-25,13.750000,14.000000,13.750000,13.850000,11.941815,14176474
2020-03-26,14.300000,15.200000,14.050000,14.950000,12.890262,33163762
2020-03-27,15.550000,15.700000,14.750000,14.750000,12.717817,32015692
2020-03-30,14.700000,16.200001,14.650000,16.200001,13.968044,55682662
2020-03-31,16.200001,16.400000,15.600000,15.600000,13.450709,40058658
2020-04-01,15.750000,16.100000,15.600000,15.650000,13.493818,25974688
2020-04-06,16.000000,16.000000,15.600000,15.850000,13.666265,15410809
2020-04-07,16.049999,16.100000,15.450000,15.600000,13.450709,25022914
2020-04-08,15.550000,16.000000,15.450000,16.000000,13.795598,17618975
2020-04-09,16.100000,16.200001,15.650000,15.650000,13.493818,14302338
2020-04-10,15.800000,15.900000,15.650000,15.900000,13.709376,9966769
2020-04-13,15.800000,15.900000,15.600000,15.800000,13.623154,8143502
2020-04-14,15.850000,16.100000,15.800000,15.950000,13.752486,16850864
2020-04-15,16.100000,16.150000,15.850000,16.000000,13.795598,15763520
2020-04-16,15.850000,15.950000,15.750000,15.850000,13.666265,13475530
2020-04-17,16.049999,16.100000,15.750000,15.750000,13.580042,19792928
2020-04-20,15.800000,15.950000,15.450000,15.900000,13.709376,10636064
2020-04-21,15.750000,15.900000,15.200000,15.200000,13.105818,16610086
2020-04-22,15.100000,15.550000,15.000000,15.550000,13.407597,10689664
2020-04-23,15.650000,15.800000,15.500000,15.700000,13.536931,9365271
2020-04-24,15.700000,15.800000,15.600000,15.650000,13.493818,7180065
2020-04-27,15.750000,16.150000,15.750000,16.000000,13.795598,14758776
2020-04-28,16.200001,16.200001,16.000000,16.000000,13.795598,9772414
2020-04-29,16.200001,16.750000,16.150000,16.549999,14.269821,26242886
2020-04-30,16.700001,16.900000,16.400000,16.650000,14.356044,18857440
2020-05-04,16.049999,16.250000,16.000000,16.150000,13.924932,14194997
2020-05-05,16.299999,16.350000,15.950000,15.950000,13.752486,16413190
2020-05-06,15.900000,16.049999,15.800000,15.950000,13.752486,10951396
2020-05-07,16.049999,16.350000,16.000000,16.299999,14.054265,13906458
2020-05-08,16.549999,16.600000,16.250000,16.350000,14.097378,11421175
2020-05-11,16.500000,16.500000,16.350000,16.450001,14.183600,11796446
2020-05-12,16.400000,16.500000,16.299999,16.350000,14.097378,11338991
2020-05-13,16.350000,16.450001,16.299999,16.400000,14.140488,6065945
2020-05-14,16.400000,16.450001,16.100000,16.150000,13.924932,8318615
2020-05-15,16.350000,16.350000,16.049999,16.250000,14.011154,9131186
2020-05-18,16.400000,16.400000,16.150000,16.299999,14.054265,6298112
2020-05-19,16.500000,16.500000,16.250000,16.350000,14.097378,10694450
2020-05-20,16.400000,16.450001,16.150000,16.299999,14.054265,7374489
2020-05-21,16.299999,16.450001,16.299999,16.450001,14.183600,9138051
2020-05-22,16.350000,16.350000,16.049999,16.100000,13.881821,10696013
2020-05-25,16.150000,16.200001,15.900000,16.049999,13.838709,6006475
2020-05-26,16.200001,16.350000,16.150000,16.299999,14.054265,6967570
2020-05-27,16.350000,16.450001,16.250000,16.400000,14.140488,8646627
2020-05-28,16.450001,16.500000,16.250000,16.350000,14.097378,7912975
2020-05-29,16.350000,16.600000,16.250000,16.350000,14.097378,29347996
2020-06-01,16.500000,17.200001,16.450001,17.100000,14.744047,27139541
2020-06-02,17.049999,17.200001,16.950001,17.150000,14.787156,13690060
2020-06-03,17.400000,17.500000,17.299999,17.350000,14.959601,11270894
2020-06-04,17.750000,17.799999,17.450001,17.450001,15.045825,16694102
2020-06-05,17.400000,17.600000,17.250000,17.450001,15.045825,8884549
2020-06-08,17.600000,17.799999,17.350000,17.549999,15.132047,12705282
2020-06-09,17.700001,17.900000,17.549999,17.600000,15.175159,12025027
2020-06-10,17.650000,17.750000,17.500000,17.650000,15.218269,11861030
2020-06-11,17.650000,17.850000,17.299999,17.299999,14.916491,16013771
2020-06-12,16.950001,17.450001,16.799999,17.299999,14.916491,13770906
2020-06-15,17.450001,17.650000,17.100000,17.150000,14.787156,10785621
2020-06-16,17.400000,17.500000,17.250000,17.350000,14.959601,5955515
2020-06-17,17.500000,17.650000,17.350000,17.600000,15.175159,7929124
2020-06-18,17.650000,17.700001,17.400000,17.650000,15.218269,8689747
2020-06-19,17.650000,17.700001,17.500000,17.549999,15.132047,10129842
2020-06-22,17.549999,17.650000,17.450001,17.600000,15.175159,5368068
2020-06-23,17.600000,18.000000,17.549999,18.000000,15.520047,15289849
2020-06-24,18.100000,18.200001,17.750000,18.000000,15.520047,15798578
2020-06-29,17.799999,17.900000,17.549999,17.700001,15.261379,12426017
2020-06-30,17.750000,18.000000,17.750000,17.900000,15.433825,8998451
2020-07-01,17.950001,18.100000,17.799999,17.900000,15.433825,18933753
2020-07-02,17.350000,17.500000,17.200001,17.500000,15.773488,12357202
2020-07-03,17.600000,17.600000,17.350000,17.400000,15.683353,6331908
2020-07-06,17.600000,17.650000,17.450001,17.650000,15.908688,8758811
2020-07-07,17.750000,17.750000,17.400000,17.450001,15.728421,9108704
2020-07-08,17.450001,17.750000,17.400000,17.650000,15.908688,7058556
2020-07-09,17.799999,18.000000,17.650000,17.650000,15.908688,13369146
2020-07-10,17.650000,17.750000,17.200001,17.200001,15.503086,9954470
2020-07-13,17.400000,17.600000,17.299999,17.500000,15.773488,6828788
2020-07-14,17.450001,17.650000,17.299999,17.299999,15.593218,7987654
2020-07-15,17.549999,17.549999,17.250000,17.400000,15.683353,8054964
2020-07-16,17.500000,17.500000,17.200001,17.400000,15.683353,9951483
2020-07-17,17.549999,19.100000,17.500000,19.100000,17.215635,128632908
2020-07-20,19.900000,21.000000,19.700001,21.000000,18.928186,150205926
2020-07-21,21.150000,21.650000,20.400000,20.750000,18.702850,102485306
2020-07-22,20.799999,20.850000,20.100000,20.500000,18.477514,43428823
2020-07-23,20.400000,21.350000,20.200001,20.549999,18.522581,52150012
2020-07-24,20.500000,20.549999,19.750000,19.850000,17.891642,39687962
2020-07-27,20.000000,20.299999,19.900000,20.100000,18.116978,28364126
2020-07-28,20.200001,20.750000,19.799999,19.900000,17.936708,30669576
2020-07-29,20.049999,20.950001,20.049999,20.250000,18.252178,48060835
2020-07-30,20.450001,20.600000,20.049999,20.600000,18.567648,20840703
2020-07-31,20.600000,20.600000,20.250000,20.299999,18.297245,17079677
2020-08-03,20.450001,20.750000,20.100000,20.350000,18.342312,21355060
2020-08-04,20.600000,20.650000,20.350000,20.549999,18.522581,16144692
2020-08-05,20.799999,21.450001,20.500000,21.400000,19.288721,43440199
2020-08-06,22.000000,22.150000,21.100000,21.400000,19.288721,82996227
2020-08-07,21.549999,22.200001,21.450001,21.950001,19.784462,69915866
2020-08-10,22.200001,23.850000,22.200001,23.200001,20.911139,106713067
2020-08-11,23.200001,23.400000,22.250000,22.549999,20.325266,59809250
2020-08-12,22.600000,22.850000,22.250000,22.700001,20.460466,30916777
2020-08-13,23.100000,23.350000,22.600000,22.650000,20.415400,32147752
2020-08-14,22.700001,23.450001,22.700001,23.049999,20.775936,41331955
2020-08-17,23.700001,24.600000,23.549999,23.750000,21.406878,108972147
2020-08-18,23.600000,23.950001,23.100000,23.799999,21.451942,40475462
2020-08-19,24.000000,24.500000,23.799999,23.900000,21.542076,37353245
2020-08-20,23.900000,24.000000,22.049999,22.700001,20.460466,60986863
2020-08-21,23.600000,23.950001,23.400000,23.700001,21.361809,39782347
2020-08-24,24.000000,24.500000,23.350000,23.450001,21.136475,55147050
2020-08-25,23.250000,23.650000,22.850000,23.049999,20.775936,32898779
2020-08-26,23.100000,23.450001,23.049999,23.250000,20.956205,18841006
2020-08-27,23.450001,23.750000,23.000000,23.150000,20.866072,25317739
2020-08-28,23.400000,23.700001,23.150000,23.450001,21.136475,29030241
2020-08-31,23.750000,23.900000,23.250000,23.350000,21.046339,44652471
2020-09-01,23.400000,24.100000,23.250000,24.000000,21.632212,45156723
2020-09-02,24.000000,24.000000,23.500000,24.000000,21.632212,28295913
2020-09-03,24.200001,24.299999,23.750000,23.900000,21.542076,21826251
2020-09-04,23.150000,23.700001,23.150000,23.700001,21.361809,21428532
2020-09-07,23.850000,24.500000,23.850000,24.000000,21.632212,43249317
2020-09-08,24.250000,24.500000,23.950001,24.500000,22.082882,32970278
2020-09-09,24.100000,24.850000,23.600000,24.799999,22.353285,57514259
2020-09-10,25.400000,26.100000,24.850000,25.000000,22.533554,104198465
2020-09-11,25.000000,25.150000,24.100000,24.200001,21.812481,42202929
2020-09-14,24.299999,25.100000,24.250000,25.100000,22.623688,41025451
2020-09-15,25.150000,26.250000,25.100000,26.150000,23.570097,81971433
2020-09-16,26.400000,26.700001,25.600000,25.650000,23.119427,53755990
2020-09-17,25.700001,26.000000,25.400000,25.700001,23.164494,19146244
2020-09-18,25.900000,25.950001,25.500000,25.500000,22.984224,20435009
2020-09-21,25.500000,25.600000,24.850000,25.000000,22.533554,26274067
2020-09-22,24.900000,25.400000,24.700001,25.049999,22.578621,20186764
2020-09-23,25.400000,25.450001,24.950001,25.200001,22.713821,15535854
2020-09-24,25.000000,25.100000,24.500000,24.500000,22.082882,25060157
2020-09-25,24.700001,24.950001,23.650000,24.000000,21.632212,31995467
2020-09-28,24.450001,25.350000,24.400000,24.900000,22.443419,24738198
2020-09-29,25.150000,25.400000,24.500000,24.650000,22.218084,16632030
2020-09-30,24.850000,25.000000,24.450001,24.799999,22.353285,13815224
2020-10-05,25.000000,25.250000,24.400000,24.549999,22.127949,17464131
2020-10-06,24.799999,25.150000,24.700001,25.100000,22.623688,17197690
2020-10-07,25.000000,25.250000,24.900000,25.049999,22.578621,11194371
2020-10-08,25.250000,25.500000,25.049999,25.299999,22.803957,20327904
2020-10-12,25.549999,25.650000,24.900000,25.299999,22.803957,23958912
